Date,NVDA.O (TRDPRC_1),JPM (TRDPRC_1),GS (TRDPRC_1),AAPL.O (TRDPRC_1),MSFT.O (TRDPRC_1),TSLA.O (TRDPRC_1),META.O (TRDPRC_1),GOOGL.O (TRDPRC_1),BLK (TRDPRC_1),BX (TRDPRC_1),TSM (TRDPRC_1),XAU= (BID),AMZN.O (TRDPRC_1),WMT (TRDPRC_1),COST.O (TRDPRC_1),NKE (TRDPRC_1),PFE (TRDPRC_1),TSN (TRDPRC_1),SPY (TRDPRC_1),F (TRDPRC_1)
,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
26/8/2025,181.77,298.57,748.95,229.31,502.04,351.67,754.1,207.14,1139.8,171.43,238.72,3392.3333,228.71,96.05,941.34,78.65,24.92,57.23,645.16,11.84
25/8/2025,179.81,294.9,738.79,227.16,504.26,346.6,753.3,208.49,1137.1,169.5,235.59,3366.2451,227.94,96.07,941.58,79.17,25.14,57.46,642.47,11.82
22/8/2025,177.99,296.24,741.89,227.76,507.23,340.01,754.79,206.09,1148.17,170.5,232.99,3371.668,228.84,96.83,958.54,78.38,25.88,57.61,645.31,11.74
21/8/2025,174.98,291.47,715.95,224.9,504.24,320.11,739.1,199.75,1124.75,163.44,227.33,3338.4629,221.95,97.96,969.68,76.18,25.74,56.97,635.55,11.33
20/8/2025,175.4,292.24,720.68,226.01,505.72,323.9,747.72,199.32,1128.46,164.47,228.6,3346.7534,223.81,102.57,994.57,76.26,25.38,56.58,638.11,11.49
19/8/2025,175.64,290.66,721.38,230.56,509.77,329.31,751.48,201.57,1128.47,167.29,232.7,3315.1875,228.01,101.29,980.85,76.88,25.32,56.71,639.81,11.58
18/8/2025,182.01,291.53,730.96,230.89,517.1,335.16,767.37,203.5,1136.12,169.22,241.41,3330.2451,231.49,100.7,979.35,77.43,25.07,56.07,643.3,11.46
15/8/2025,180.45,290.49,730.72,231.59,520.17,330.56,785.23,203.9,1135.01,171.62,238.88,3334.9846,231.03,100,972.04,76.97,25.14,56.8,643.44,11.44
14/8/2025,182.02,294.16,747.2,232.78,522.48,335.58,782.13,202.94,1160.16,174.68,241,3335.7,230.98,100.85,975.39,76.39,25.11,56.3,644.95,11.44
13/8/2025,181.59,290.53,744.69,233.33,520.58,339.38,780.08,201.96,1160.03,176.62,241.44,3354.4275,224.56,100.99,978.85,77.2,25.16,57.69,644.89,11.44
12/8/2025,183.16,292.85,743.38,229.65,529.24,340.84,790,203.34,1159.61,173.74,244.29,3345,221.47,103.62,991.25,74.9,24.65,56.44,642.69,11.25
11/8/2025,182.06,289.56,719.24,227.18,521.77,339.03,765.87,201,1127.93,170.07,242.09,3344.1487,221.3,103.93,988.74,74.02,24.58,56.68,635.92,11.14
08/8/2025,182.7,288.76,721.27,229.35,522.04,329.65,769.3,201.42,1124.97,168.91,241.83,3398.4092,222.69,103.73,980.98,74.19,24.58,57.04,637.18,11.32
07/8/2025,180.77,286.94,719.74,220.03,520.84,322.27,761.83,196.52,1112.83,167.64,242.62,3397.01,223.13,103.12,977.45,74.35,24.23,56.34,632.25,11.28
06/8/2025,179.42,291.35,724.74,213.25,524.94,319.91,771.99,196.09,1120.54,169.35,231.37,3368.5061,222.31,103.36,968.56,75.48,23.93,56.07,632.78,11.21
05/8/2025,178.26,291.37,720.91,202.92,527.75,308.72,763.46,194.67,1109.64,167.68,232.47,3380.7319,213.75,99.31,943.63,74.38,24.75,54.79,627.97,11.06
04/8/2025,180,294.26,726.03,203.35,535.64,309.26,776.37,195.04,1116.06,170.5,239,3372.7939,211.65,99.59,955.37,74.82,23.53,53.81,631.17,10.95
01/8/2025,173.72,289.37,709.57,202.38,524.11,302.63,750.01,189.13,1091.8,170.4,235.21,3362.5129,214.75,98.49,952.52,74.62,23.49,52.53,621.72,10.82
31/7/2025,177.87,296.24,723.59,207.57,533.5,308.27,773.44,191.9,1106.01,172.96,241.62,3290.0249,234.11,97.98,939.64,74.69,23.29,52.3,632.08,11.07
30/7/2025,179.27,299.63,730.75,209.05,513.24,319.04,695.21,196.53,1114.65,175.34,242.91,3274.7478,230.19,97.59,927.51,76.68,23.81,52.92,634.46,10.87
29/7/2025,175.51,297.04,731.98,211.27,512.57,321.2,700,195.75,1121.53,177.04,241.33,3326.314,231.01,98.33,934.57,78.33,24.3,53.65,635.26,11.08
28/7/2025,176.75,298.28,723.65,214.05,512.5,325.59,717.63,192.58,1117.82,176.94,242.75,3314.0376,232.79,97.61,933.99,79.24,24.31,53.45,636.94,11.28
25/7/2025,173.5,298.62,728.98,213.88,513.71,316.06,712.68,193.18,1123.28,178.1,245.6,3335.925,231.44,97.47,935.48,76.27,24.79,53.94,637.1,11.47
24/7/2025,173.74,296.55,719.18,213.76,510.88,305.3,714.8,192.17,1118.37,178.11,241.6,3367.8064,232.23,96.6,933.8,75.42,25.35,54,634.42,11.26
23/7/2025,170.78,296.76,717.52,214.15,505.87,332.56,713.58,190.23,1120.37,171.96,240.33,3387.4155,228.29,95.68,941.19,76.75,25.36,54.39,634.21,11.38
22/7/2025,167.03,291.43,700.41,214.4,505.27,332.11,704.81,191.34,1100.39,169.38,234.6,3431.1194,227.47,95.85,941.61,75.39,25.14,54.47,628.86,11.19
21/7/2025,171.38,290.97,706,212.48,510.06,328.49,712.97,190.1,1093.02,166.69,238.85,3395.3208,229.3,95.67,947.56,74.02,24.26,53.31,628.77,11.31
18/7/2025,172.41,291.27,708.26,211.18,510.05,329.65,704.28,185.06,1103.59,168.72,240.4,3349.2607,226.13,95.05,950.95,72.47,24.47,53.41,627.58,11.16
17/7/2025,173,289.9,705.84,210.02,511.7,319.41,701.41,183.58,1105.38,172.49,245.6,3338.5791,223.88,95.09,953.91,72.98,24.58,53.98,628.04,11.15
16/7/2025,171.37,285.82,708.82,210.16,505.62,321.67,702.91,182.97,1082.24,165.92,237.56,3346.3196,223.19,95.15,951.37,72.1,24.61,53.63,624.22,11.24
15/7/2025,170.7,286.55,702.51,209.11,505.82,310.78,710.39,182,1046.16,159.8,236.95,3322.18,226.35,95.39,967.68,71.99,24.61,52.75,622.14,11.57
14/7/2025,164.07,288.7,713.3,208.62,503.02,316.9,720.92,181.56,1111.46,163.36,228.67,3343.5242,225.69,95.78,980.91,72.25,25.35,54.32,624.81,11.88
